Ticker,Final Balance,Return (%),Win Rate (%),Profit Factor,MDD (%),Total Trades,Score
TNSRUSDT,26624.5,2562.45,39.65,1.32,-52.3,691,0.9819512195121952
AIOTUSDT,18928.95,1792.89,45.7,1.54,-51.82,302,1.3324119651647104
CAKEUSDT,10690.32,969.03,37.35,1.29,-48.71,648,0.9692516596258298
THEUSDT,8751.82,775.18,41.23,1.33,-41.28,422,1.2969701986754967
AIAUSDT,8597.98,759.8,46.56,1.42,-68.8,247,0.9472091690544413
LINAUSDT,7188.65,618.87,37.48,1.15,-87.08,1657,0.48935059037238865
HIFIUSDT,6766.45,576.65,35.71,1.22,-79.74,815,0.5395863264800596
NTRNUSDT,4837.82,383.78,38.05,1.2,-64.31,728,0.6991272393201653
AVAXUSDT,4651.8,365.18,36.73,1.13,-73.94,1936,0.5538417400587136
COAIUSDT,4254.75,325.47,44.44,1.36,-82.63,225,0.7226880306110248
BIOUSDT,4253.99,325.4,38.64,1.23,-48.71,484,0.956089318044659
XPINUSDT,4074.64,307.46,40.83,1.44,-58.35,169,0.9906520640269586
XANUSDT,3837.58,283.76,46.32,1.54,-36.38,136,1.908314606741573
LOKAUSDT,3555.61,255.56,38.46,1.29,-54.72,312,0.8904055994257001
QUSDT,3144.1,214.41,41.55,1.32,-51.7,207,1.0407210626185956
BROCCOLIF3BUSDT,3131.0,213.1,38.3,1.24,-57.68,376,0.8093387866394001
MAVUSDT,2932.92,193.29,37.12,1.15,-76.1,924,0.5536705577172503
FUNUSDT,2741.34,174.13,40.96,1.25,-56.37,293,0.8924525013073036
CUDISUSDT,2727.53,172.75,38.55,1.72,-47.18,166,1.376214196762142
1000000BOBUSDT,2717.64,171.76,39.11,1.26,-48.13,271,1.0030246285365356
LAYERUSDT,2613.5,161.35,40.57,1.24,-41.42,318,1.185921735030646
HEMIUSDT,2540.36,154.04,39.55,1.33,-55.72,177,0.927388928067701
AINUSDT,2407.46,140.75,41.53,1.32,-37.67,183,1.4176260667183864
ETHUSDT,2394.08,139.41,34.72,1.13,-93.8,1541,0.41385654008438816
SUSDT,2318.08,131.81,37.99,1.22,-57.21,329,0.7962171448204776
JUPUSDT,2284.21,128.42,37.13,1.15,-51.22,703,0.8176847950976638
MEMEFIUSDT,2206.24,120.62,37.5,1.37,-48.13,136,1.0456950946468553
PIXELUSDT,2159.55,115.96,36.61,1.14,-51.86,732,0.7895459704880817
1000SATSUSDT,2158.6,115.86,37.04,1.14,-71.21,810,0.584761113419194
MEWUSDT,2151.75,115.17,37.56,1.15,-63.04,599,0.6744846970643349
HOLOUSDT,2135.15,113.52,45.05,1.51,-21.89,91,2.971843599825251
STGUSDT,2069.61,106.96,35.16,1.14,-82.24,947,0.48152811148486296
SIRENUSDT,2051.42,105.14,39.3,1.21,-59.42,285,0.7870407149950347
METUSDT,2046.4,104.64,40.82,1.44,-28.05,98,2.0234354561101546
GALAUSDT,1970.79,97.08,35.6,1.12,-76.4,1587,0.5151421188630492
TURBOUSDT,1950.28,95.03,37.21,1.14,-78.04,731,0.5366826923076922
HUSDT,1911.42,91.14,40.13,1.19,-69.99,314,0.6726961543879421
WIFUSDT,1801.04,80.1,38.41,1.12,-89.91,953,0.4732064679353206
IOSTUSDT,1789.36,78.94,35.48,1.12,-90.1,1911,0.4361975850713502
MYXUSDT,1785.82,78.58,42.7,1.18,-86.73,363,0.5743303316995326
EGLDUSDT,1781.67,78.17,35.73,1.11,-79.12,1769,0.49501123315027457
BANANAS31USDT,1776.19,77.62,37.46,1.19,-53.37,331,0.8198896450248299
XVGUSDT,1718.58,71.86,36.28,1.13,-70.35,940,0.5745816398037841
AUCTIONUSDT,1696.75,69.68,35.52,1.14,-72.56,718,0.5504730831973899
FILUSDT,1650.11,65.01,34.5,1.11,-84.38,1684,0.4485242445537597
SOMIUSDT,1570.03,57.0,40.36,1.22,-58.59,166,0.8262997147172343
2ZUSDT,1562.5,56.25,43.01,1.31,-28.69,93,1.8977130346918154
RAYUSDT,1520.61,52.06,37.93,1.15,-50.43,406,0.8481333851837448
MIRAUSDT,1517.67,51.77,40.22,1.3,-44.76,92,1.1426136363636366
COMBOUSDT,1496.06,49.61,35.95,1.13,-66.96,637,0.5977560329605651
SCUSDT,1493.47,49.35,36.87,1.13,-64.25,518,0.6385149425287355
ASRUSDT,1489.4,48.94,36.67,1.2,-53.33,210,0.8099392600773053
NOTUSDT,1471.42,47.14,36.21,1.13,-71.34,602,0.5656248272048658
FTTUSDT,1460.5,46.05,37.7,1.22,-48.69,183,0.9256188367880862
SOONUSDT,1451.02,45.1,37.2,1.21,-73.71,293,0.6024896265560167
BRUSDT,1446.63,44.66,40.53,1.24,-66.14,227,0.7485433422698838
ZBTUSDT,1436.17,43.62,41.51,1.44,-24.61,53,2.334025771183131
BTCUSDT,1434.35,43.43,34.7,1.13,-65.25,1294,0.5918641509433962
VINEUSDT,1431.73,43.17,39.33,1.13,-71.17,478,0.6158085076901759
HANAUSDT,1427.91,42.79,43.66,1.22,-66.36,142,0.7907541567695962
EULUSDT,1426.31,42.63,46.0,1.45,-26.58,50,2.4184191443074696
OMGUSDT,1417.52,41.75,35.41,1.11,-87.79,1734,0.4426748507714833
REDUSDT,1413.04,41.3,35.23,1.16,-50.2,298,0.7981796874999998
RONINUSDT,1398.6,39.86,35.78,1.13,-50.01,545,0.7926171338953146
POLUSDT,1389.75,38.97,35.84,1.15,-56.54,346,0.7163017031630171
ORDERUSDT,1374.46,37.45,41.51,1.22,-27.04,106,1.8060699001426532
ICPUSDT,1366.76,36.68,35.34,1.11,-79.15,962,0.4894248284466626
PTBUSDT,1365.03,36.5,41.24,1.17,-68.06,177,0.6986794092093831
AEROUSDT,1353.39,35.34,36.23,1.13,-60.69,414,0.6636391635597341
BEATUSDT,1352.9,35.29,47.3,1.25,-53.73,74,1.0803033071441623
STRAXUSDT,1342.62,34.26,38.0,1.19,-53.24,150,0.8337020648967551
MMTUSDT,1325.92,32.59,42.11,1.32,-36.83,57,1.4693417922283902
SAHARAUSDT,1322.96,32.3,33.09,1.22,-50.68,139,0.7811493808049537
0GUSDT,1319.09,31.91,44.63,1.19,-40.44,121,1.28160472972973
ALPINEUSDT,1282.77,28.28,35.22,1.17,-52.43,230,0.7712408759124086
BTCDOMUSDT,1259.37,25.94,34.16,1.17,-42.71,764,0.9143719972546326
TRUMPUSDT,1256.97,25.7,37.33,1.14,-44.71,300,0.9310041566396848
PAXGUSDT,1256.25,25.63,38.14,1.73,-7.74,97,7.5494508009153325
XNYUSDT,1251.92,25.19,35.07,1.23,-72.01,211,0.5908245445829338
PUMPBTCUSDT,1248.34,24.83,38.03,1.21,-80.47,234,0.5648250889898122
SPKUSDT,1221.0,22.1,37.9,1.14,-66.38,219,0.6412288512911843
KAITOUSDT,1209.23,20.92,35.2,1.13,-54.96,304,0.7107934238741958
OGUSDT,1184.84,18.48,36.7,1.15,-46.62,188,0.8862872742545149
YALAUSDT,1170.43,17.04,39.29,1.14,-64.38,196,0.6850810645457327
FUSDT,1163.39,16.34,40.0,1.24,-83.01,200,0.5904059040590406
INITUSDT,1161.88,16.19,37.46,1.12,-67.63,291,0.6113244936616641
BADGERUSDT,1160.92,16.09,35.1,1.11,-66.87,473,0.5740533372624135
BERAUSDT,1153.98,15.4,38.02,1.12,-66.42,334,0.6315989320676358
RECALLUSDT,1147.22,14.72,40.82,1.15,-43.41,98,1.05703670344517
ENSOUSDT,1126.6,12.66,41.43,1.19,-34.69,70,1.3813869431213226
HFTUSDT,1126.03,12.6,35.39,1.1,-91.62,941,0.42030878859857485
MITOUSDT,1123.94,12.39,35.2,1.18,-54.13,125,0.7534191910030836
UXLINKUSDT,1109.42,10.94,37.16,1.12,-80.75,409,0.509103363914373
APRUSDT,1107.69,10.77,43.06,1.17,-44.53,72,1.106527564243356
TACUSDT,1093.98,9.4,36.15,1.16,-53.6,213,0.7680219780219779
ALTUSDT,1074.71,7.47,36.84,1.11,-60.16,741,0.6686134728580774
OPENUSDT,1072.0,7.2,38.1,1.12,-48.93,105,0.8546364910875226
TAIKOUSDT,1061.53,6.15,36.03,1.12,-38.88,136,1.0118756268806421
ILVUSDT,1060.82,6.08,35.14,1.1,-62.92,703,0.6047246558197747
YBUSDT,1050.82,5.08,39.78,1.12,-55.1,93,0.7941818181818182
MELANIAUSDT,1050.79,5.08,36.62,1.11,-72.67,325,0.5517605538210941
AVNTUSDT,1048.86,4.89,39.73,1.12,-43.05,146,1.010161180476731
1000BONKUSDT,1021.33,2.13,37.26,1.1,-87.41,985,0.46359009161859527
MILKUSDT,1017.49,1.75,35.14,1.1,-63.79,185,0.5966044142614603
VELODROMEUSDT,1016.7,1.67,34.9,1.1,-57.64,361,0.6546725784447476
BNXUSDT,1004.18,0.42,35.43,1.11,-81.69,731,0.47559922602491234
ALLOUSDT,998.73,-0.13,39.58,1.1,-38.56,48,1.100556117290192
ZKCUSDT,993.34,-0.67,38.46,1.11,-45.72,117,0.9137542808219179
JSTUSDT,987.73,-1.23,33.62,1.1,-33.23,116,1.0803973122991528
RESOLVUSDT,977.49,-2.25,37.5,1.1,-56.76,272,0.7141620498614959
EPICUSDT,965.03,-3.5,36.79,1.09,-70.56,280,0.5603842929010621
MEUSDT,964.98,-3.5,35.24,1.09,-65.63,349,0.5764910700885488
SKATEUSDT,962.31,-3.77,36.44,1.11,-79.81,247,0.5005370622447717
DOGEUSDT,950.39,-4.96,34.87,1.11,-95.85,1838,0.3996458440887971
KGENUSDT,947.26,-5.27,36.97,1.13,-67.44,119,0.610404734073641
