Open time,Open,High,Low,Close,Volume
2025-08-15 21:15:00,0.3299,0.3299,0.3087,0.3271,9627757.0
2025-08-15 21:20:00,0.3271,0.3329,0.3205,0.332,6318184.0
2025-08-15 21:25:00,0.332,0.332,0.3252,0.3278,3680655.0
2025-08-15 21:30:00,0.3278,0.3406,0.3258,0.338,6434516.0
2025-08-15 21:35:00,0.338,0.338,0.323,0.3265,6678822.0
2025-08-15 21:40:00,0.3265,0.3312,0.322,0.3254,3609372.0
2025-08-15 21:45:00,0.3255,0.3291,0.3246,0.3267,1586772.0
2025-08-15 21:50:00,0.3267,0.3314,0.3236,0.3295,2388233.0
2025-08-15 21:55:00,0.3294,0.3317,0.3269,0.3293,2179070.0
2025-08-15 22:00:00,0.3294,0.3314,0.3269,0.3308,1665159.0
2025-08-15 22:05:00,0.3308,0.3336,0.327,0.3324,2651718.0
2025-08-15 22:10:00,0.3324,0.337,0.3309,0.3325,3468652.0
2025-08-15 22:15:00,0.3325,0.3334,0.3283,0.3304,2631468.0
2025-08-15 22:20:00,0.3304,0.3322,0.3283,0.3308,1463958.0
2025-08-15 22:25:00,0.3309,0.3335,0.33,0.3317,1348643.0
2025-08-15 22:30:00,0.3317,0.3327,0.3276,0.3286,1990406.0
2025-08-15 22:35:00,0.3286,0.3303,0.322,0.3244,3289068.0
2025-08-15 22:40:00,0.3245,0.3267,0.3201,0.3205,3759911.0
2025-08-15 22:45:00,0.3205,0.3247,0.3178,0.3236,3541909.0
2025-08-15 22:50:00,0.3234,0.3264,0.3194,0.3198,2542569.0
2025-08-15 22:55:00,0.3199,0.322,0.3131,0.3167,3757060.0
2025-08-15 23:00:00,0.3166,0.3237,0.3136,0.3222,2533247.0
2025-08-15 23:05:00,0.3221,0.3233,0.3182,0.3211,1866247.0
2025-08-15 23:10:00,0.321,0.3231,0.3206,0.3222,1625820.0
2025-08-15 23:15:00,0.3218,0.3265,0.3214,0.3234,1945163.0
2025-08-15 23:20:00,0.3233,0.3235,0.3173,0.3198,1638603.0
2025-08-15 23:25:00,0.3197,0.3197,0.3151,0.3155,1620766.0
2025-08-15 23:30:00,0.3156,0.3183,0.3136,0.3139,1446233.0
2025-08-15 23:35:00,0.3138,0.3146,0.2983,0.3058,7496701.0
2025-08-15 23:40:00,0.3058,0.3064,0.3001,0.3023,2620328.0
2025-08-15 23:45:00,0.3023,0.3037,0.287,0.2907,9992220.0
2025-08-15 23:50:00,0.2909,0.2933,0.2845,0.2906,5158055.0
2025-08-15 23:55:00,0.2906,0.2928,0.2844,0.2911,4642806.0
2025-08-16 00:00:00,0.2911,0.2925,0.2876,0.292,3567566.0
2025-08-16 00:05:00,0.2919,0.292,0.2853,0.2867,3230775.0
2025-08-16 00:10:00,0.2867,0.2909,0.2834,0.288,3095846.0
2025-08-16 00:15:00,0.2881,0.2906,0.287,0.288,1821182.0
2025-08-16 00:20:00,0.2879,0.29,0.2875,0.2895,1437953.0
2025-08-16 00:25:00,0.2896,0.293,0.2873,0.2895,3003312.0
2025-08-16 00:30:00,0.2894,0.2966,0.2888,0.2952,3361782.0
2025-08-16 00:35:00,0.2953,0.301,0.2938,0.2953,5889114.0
2025-08-16 00:40:00,0.2953,0.2955,0.2886,0.2901,3207971.0
2025-08-16 00:45:00,0.2901,0.2907,0.2847,0.2865,2840349.0
2025-08-16 00:50:00,0.2866,0.2937,0.2866,0.2918,2600427.0
2025-08-16 00:55:00,0.292,0.2924,0.2887,0.2901,1423837.0
2025-08-16 01:00:00,0.2899,0.2904,0.2832,0.2856,3230723.0
2025-08-16 01:05:00,0.2855,0.2859,0.2764,0.2779,7882853.0
2025-08-16 01:10:00,0.2781,0.2815,0.277,0.2803,2218426.0
2025-08-16 01:15:00,0.2803,0.283,0.2778,0.2818,1707395.0
2025-08-16 01:20:00,0.282,0.2844,0.2783,0.2836,2063380.0
2025-08-16 01:25:00,0.2835,0.2865,0.2821,0.2833,3149756.0
2025-08-16 01:30:00,0.2832,0.29,0.2828,0.2865,2708492.0
2025-08-16 01:35:00,0.2863,0.29,0.2845,0.2879,2362960.0
2025-08-16 01:40:00,0.2879,0.2882,0.2816,0.2821,2043005.0
2025-08-16 01:45:00,0.2818,0.2834,0.2802,0.2827,1467198.0
2025-08-16 01:50:00,0.2827,0.284,0.2804,0.2813,1393342.0
2025-08-16 01:55:00,0.2813,0.2816,0.2783,0.2792,1420011.0
2025-08-16 02:00:00,0.2792,0.2808,0.2744,0.2762,3872702.0
2025-08-16 02:05:00,0.2762,0.2794,0.275,0.2759,2316386.0
2025-08-16 02:10:00,0.2759,0.2783,0.273,0.2763,2142090.0
2025-08-16 02:15:00,0.2761,0.282,0.276,0.2793,3061932.0
2025-08-16 02:20:00,0.2791,0.2824,0.278,0.2802,1827808.0
2025-08-16 02:25:00,0.2803,0.2863,0.2799,0.2831,3863420.0
2025-08-16 02:30:00,0.283,0.2837,0.2783,0.2799,2463101.0
2025-08-16 02:35:00,0.28,0.2817,0.279,0.2812,983064.0
2025-08-16 02:40:00,0.281,0.2858,0.2809,0.2846,1761390.0
2025-08-16 02:45:00,0.2847,0.2859,0.2822,0.2855,1308639.0
2025-08-16 02:50:00,0.2855,0.2869,0.2818,0.2832,1752019.0
2025-08-16 02:55:00,0.2831,0.2881,0.2827,0.2871,2051425.0
2025-08-16 03:00:00,0.2871,0.288,0.2817,0.2827,1901884.0
2025-08-16 03:05:00,0.2829,0.2835,0.281,0.2813,1098997.0
2025-08-16 03:10:00,0.2816,0.2829,0.281,0.2821,679106.0
2025-08-16 03:15:00,0.2821,0.2834,0.2814,0.2829,713362.0
2025-08-16 03:20:00,0.2827,0.285,0.2817,0.2845,865776.0
2025-08-16 03:25:00,0.2844,0.2847,0.282,0.2822,548397.0
2025-08-16 03:30:00,0.2824,0.2864,0.2815,0.2855,956810.0
2025-08-16 03:35:00,0.2857,0.2863,0.2832,0.285,648911.0
2025-08-16 03:40:00,0.285,0.2875,0.2838,0.2863,700969.0
2025-08-16 03:45:00,0.2865,0.2919,0.2852,0.2904,3085095.0
2025-08-16 03:50:00,0.2904,0.2918,0.2897,0.2916,1224270.0
2025-08-16 03:55:00,0.2915,0.293,0.2858,0.2878,2210847.0
2025-08-16 04:00:00,0.2878,0.2883,0.2848,0.2871,1023560.0
2025-08-16 04:05:00,0.2871,0.2911,0.287,0.2897,1227078.0
2025-08-16 04:10:00,0.2894,0.2909,0.2889,0.2896,733549.0
2025-08-16 04:15:00,0.2897,0.2927,0.2897,0.2913,983755.0
2025-08-16 04:20:00,0.2913,0.2913,0.2881,0.2884,674640.0
2025-08-16 04:25:00,0.2885,0.2889,0.2815,0.2821,2769431.0
2025-08-16 04:30:00,0.2824,0.2836,0.2788,0.2833,1895282.0
2025-08-16 04:35:00,0.2834,0.2847,0.2825,0.2835,633311.0
2025-08-16 04:40:00,0.2835,0.2846,0.2813,0.2818,1096109.0
2025-08-16 04:45:00,0.2818,0.2827,0.2796,0.2796,1147671.0
2025-08-16 04:50:00,0.2797,0.2806,0.2764,0.2783,2228193.0
2025-08-16 04:55:00,0.2783,0.2793,0.2763,0.2782,1072723.0
2025-08-16 05:00:00,0.2783,0.2823,0.2778,0.2811,990037.0
2025-08-16 05:05:00,0.2812,0.284,0.2808,0.284,633587.0
