Open time,Open,High,Low,Close,Volume
2025-08-08 01:30:00,0.1886,0.2593,0.1828,0.2584,13371590.0
2025-08-08 01:35:00,0.2587,0.2816,0.242,0.2454,19780253.0
2025-08-08 01:40:00,0.2453,0.295,0.2433,0.2819,19868639.0
2025-08-08 01:45:00,0.2815,0.3381,0.2752,0.332,30510389.0
2025-08-08 01:50:00,0.3319,0.3797,0.3247,0.3762,32481245.0
2025-08-08 01:55:00,0.3753,0.3857,0.3423,0.3559,21585722.0
2025-08-08 02:00:00,0.3554,0.3651,0.33,0.334,20773304.0
2025-08-08 02:05:00,0.334,0.349,0.3132,0.3379,20144203.0
2025-08-08 02:10:00,0.3379,0.3391,0.3015,0.3197,19680940.0
2025-08-08 02:15:00,0.32,0.345,0.3067,0.3438,20004975.0
2025-08-08 02:20:00,0.3438,0.3442,0.3084,0.3192,16013337.0
2025-08-08 02:25:00,0.3189,0.3335,0.309,0.3181,10963165.0
2025-08-08 02:30:00,0.3181,0.3359,0.3143,0.3218,11660694.0
2025-08-08 02:35:00,0.3216,0.33,0.3175,0.3279,7249376.0
2025-08-08 02:40:00,0.3279,0.3506,0.3279,0.3407,15200260.0
2025-08-08 02:45:00,0.3406,0.3547,0.3247,0.3347,14231805.0
2025-08-08 02:50:00,0.3347,0.344,0.33,0.3397,7117294.0
2025-08-08 02:55:00,0.34,0.3453,0.3272,0.3296,7884519.0
2025-08-08 03:00:00,0.3296,0.3367,0.315,0.3178,11842767.0
2025-08-08 03:05:00,0.3179,0.3193,0.286,0.2891,23273568.0
2025-08-08 03:10:00,0.2892,0.2997,0.285,0.293,15135248.0
2025-08-08 03:15:00,0.293,0.2983,0.2878,0.2916,7895906.0
2025-08-08 03:20:00,0.2916,0.297,0.2832,0.288,10586634.0
2025-08-08 03:25:00,0.2883,0.2968,0.2881,0.2936,6536786.0
2025-08-08 03:30:00,0.2936,0.3141,0.291,0.311,12496853.0
2025-08-08 03:35:00,0.3108,0.3119,0.3003,0.3034,5955833.0
2025-08-08 03:40:00,0.3033,0.3055,0.2971,0.3035,4759215.0
2025-08-08 03:45:00,0.3035,0.3242,0.3014,0.3209,8487022.0
2025-08-08 03:50:00,0.3209,0.33,0.3154,0.324,8975199.0
2025-08-08 03:55:00,0.3241,0.3241,0.314,0.317,5289335.0
2025-08-08 04:00:00,0.317,0.322,0.3019,0.3047,7788339.0
2025-08-08 04:05:00,0.3047,0.3172,0.304,0.3099,5365315.0
2025-08-08 04:10:00,0.3098,0.3109,0.2943,0.3024,7641655.0
2025-08-08 04:15:00,0.3024,0.3069,0.298,0.3039,4481904.0
2025-08-08 04:20:00,0.3041,0.3062,0.297,0.2998,3471690.0
2025-08-08 04:25:00,0.2999,0.3081,0.2987,0.3039,3757556.0
2025-08-08 04:30:00,0.3039,0.3057,0.2986,0.3045,2857440.0
2025-08-08 04:35:00,0.3045,0.3059,0.2832,0.2912,7674969.0
2025-08-08 04:40:00,0.2912,0.2954,0.2866,0.293,4849017.0
2025-08-08 04:45:00,0.2931,0.2981,0.292,0.2944,3526080.0
2025-08-08 04:50:00,0.2944,0.312,0.2943,0.3046,5678305.0
2025-08-08 04:55:00,0.3046,0.3056,0.294,0.2996,3794061.0
2025-08-08 05:00:00,0.2997,0.3043,0.2954,0.3033,3690583.0
2025-08-08 05:05:00,0.3035,0.3046,0.2907,0.294,5849428.0
2025-08-08 05:10:00,0.2942,0.3028,0.2939,0.2995,2619728.0
2025-08-08 05:15:00,0.2995,0.3105,0.2965,0.3006,5143673.0
2025-08-08 05:20:00,0.3003,0.3058,0.2973,0.304,2656967.0
2025-08-08 05:25:00,0.3039,0.3075,0.3028,0.3058,1776056.0
2025-08-08 05:30:00,0.3057,0.3178,0.2984,0.3001,6153505.0
2025-08-08 05:35:00,0.3,0.3061,0.2992,0.303,2937070.0
2025-08-08 05:40:00,0.303,0.3052,0.3008,0.3028,1607295.0
2025-08-08 05:45:00,0.3029,0.3091,0.3024,0.3072,2170553.0
2025-08-08 05:50:00,0.3072,0.3072,0.2951,0.3029,3819236.0
2025-08-08 05:55:00,0.3029,0.3044,0.2998,0.3043,1441939.0
2025-08-08 06:00:00,0.3042,0.3058,0.302,0.3039,2272360.0
2025-08-08 06:05:00,0.3039,0.3123,0.3031,0.3083,2249217.0
2025-08-08 06:10:00,0.3083,0.3191,0.3075,0.3139,3833228.0
2025-08-08 06:15:00,0.3143,0.3198,0.3078,0.3156,3615665.0
2025-08-08 06:20:00,0.3156,0.3178,0.3105,0.3173,2534765.0
2025-08-08 06:25:00,0.3172,0.3257,0.315,0.3173,5530853.0
2025-08-08 06:30:00,0.3173,0.3188,0.3109,0.3141,3278966.0
2025-08-08 06:35:00,0.3141,0.3143,0.2958,0.303,8224749.0
2025-08-08 06:40:00,0.3029,0.3067,0.298,0.3019,3798910.0
2025-08-08 06:45:00,0.302,0.3081,0.301,0.3047,3314975.0
2025-08-08 06:50:00,0.3047,0.3125,0.3047,0.3078,3285367.0
2025-08-08 06:55:00,0.3079,0.3128,0.3079,0.31,1289838.0
2025-08-08 07:00:00,0.31,0.3142,0.3088,0.3088,2215819.0
2025-08-08 07:05:00,0.3087,0.32,0.3078,0.3181,3742075.0
2025-08-08 07:10:00,0.3181,0.3182,0.3132,0.315,3031823.0
2025-08-08 07:15:00,0.315,0.3155,0.309,0.3122,3098025.0
2025-08-08 07:20:00,0.3122,0.32,0.3122,0.3192,2788400.0
2025-08-08 07:25:00,0.3193,0.322,0.3168,0.3179,2394147.0
2025-08-08 07:30:00,0.318,0.3231,0.3151,0.3223,2246459.0
2025-08-08 07:35:00,0.3223,0.325,0.3204,0.3243,1856033.0
2025-08-08 07:40:00,0.3241,0.3241,0.3067,0.3134,5961717.0
2025-08-08 07:45:00,0.3136,0.3169,0.3092,0.3124,1853941.0
2025-08-08 07:50:00,0.3124,0.3141,0.302,0.3111,2939185.0
2025-08-08 07:55:00,0.3112,0.319,0.3106,0.3153,2119248.0
2025-08-08 08:00:00,0.3153,0.3153,0.308,0.3108,2251742.0
2025-08-08 08:05:00,0.311,0.3145,0.3086,0.3136,1450819.0
2025-08-08 08:10:00,0.3137,0.321,0.313,0.317,2963997.0
2025-08-08 08:15:00,0.317,0.3183,0.3154,0.3182,819077.0
2025-08-08 08:20:00,0.3182,0.3492,0.3168,0.3394,9973387.0
2025-08-08 08:25:00,0.339,0.3395,0.3203,0.3237,6268644.0
2025-08-08 08:30:00,0.3238,0.3243,0.3109,0.316,5654783.0
2025-08-08 08:35:00,0.316,0.3176,0.3037,0.316,6504624.0
2025-08-08 08:40:00,0.316,0.3314,0.3122,0.3296,5584150.0
2025-08-08 08:45:00,0.3296,0.3432,0.3252,0.3361,6675628.0
2025-08-08 08:50:00,0.3361,0.3488,0.3299,0.3473,5107595.0
2025-08-08 08:55:00,0.3473,0.3763,0.3443,0.3638,15425826.0
2025-08-08 09:00:00,0.3639,0.385,0.3579,0.3648,16831533.0
2025-08-08 09:05:00,0.3649,0.3651,0.3355,0.3468,11016378.0
2025-08-08 09:10:00,0.3468,0.3618,0.3438,0.359,4654781.0
2025-08-08 09:15:00,0.359,0.3694,0.3418,0.3443,6167150.0
2025-08-08 09:20:00,0.3441,0.356,0.3433,0.3487,3292357.0
2025-08-08 09:25:00,0.3487,0.365,0.3486,0.3592,4210022.0
2025-08-08 09:30:00,0.3591,0.376,0.3557,0.3696,5373469.0
2025-08-08 09:35:00,0.3696,0.3756,0.3619,0.3683,2892562.0
2025-08-08 09:40:00,0.3681,0.3958,0.3661,0.373,11258661.0
2025-08-08 09:45:00,0.3731,0.3762,0.3513,0.359,7759078.0
2025-08-08 09:50:00,0.359,0.366,0.3473,0.3655,4328442.0
2025-08-08 09:55:00,0.3654,0.3655,0.3404,0.3488,3494626.0
2025-08-08 10:00:00,0.3486,0.3652,0.3455,0.3628,5520796.0
2025-08-08 10:05:00,0.3625,0.3825,0.3615,0.3801,5203117.0
2025-08-08 10:10:00,0.3802,0.3857,0.3709,0.3824,5960177.0
2025-08-08 10:15:00,0.3824,0.3875,0.37,0.3755,5466908.0
2025-08-08 10:20:00,0.3755,0.3808,0.3716,0.3733,2915515.0
2025-08-08 10:25:00,0.3734,0.3994,0.3712,0.389,6416775.0
2025-08-08 10:30:00,0.3889,0.4056,0.3774,0.3831,12376165.0
2025-08-08 10:35:00,0.3833,0.385,0.3736,0.3805,4635180.0
2025-08-08 10:40:00,0.3808,0.3823,0.3725,0.3781,3735351.0
2025-08-08 10:45:00,0.3781,0.3818,0.3615,0.3798,5341953.0
2025-08-08 10:50:00,0.3795,0.3862,0.3781,0.3818,2893533.0
2025-08-08 10:55:00,0.3818,0.3877,0.379,0.3841,2092797.0
2025-08-08 11:00:00,0.384,0.3897,0.3779,0.3883,2706652.0
2025-08-08 11:05:00,0.3882,0.3924,0.3857,0.3903,2071199.0
2025-08-08 11:10:00,0.3903,0.3939,0.3895,0.3914,2769529.0
2025-08-08 11:15:00,0.3914,0.3932,0.3664,0.3803,7268836.0
2025-08-08 11:20:00,0.3803,0.3836,0.367,0.3829,4597503.0
2025-08-08 11:25:00,0.383,0.3837,0.3737,0.38,2573659.0
2025-08-08 11:30:00,0.3799,0.3843,0.3746,0.3829,2496638.0
2025-08-08 11:35:00,0.383,0.3974,0.3827,0.3934,5482666.0
2025-08-08 11:40:00,0.3934,0.4067,0.3932,0.399,6274642.0
2025-08-08 11:45:00,0.3991,0.4181,0.3955,0.413,8739064.0
2025-08-08 11:50:00,0.4131,0.4131,0.3866,0.4032,8891510.0
