Timestamp,Action,Symbol,Side,Price,Amount(Coin),Value(USDT),PnL(USDT),Fee(USDT),Balance(USDT)
2025-08-01 03:00:13,ENTRY,XVS/USDT,Long,6.255,10.6,66.303,0,0.0331515,479.77976161
2025-08-01 07:00:13,ENTRY,KOMA/USDT,Long,0.02283,12781.0,291.79023,0,0.14589511,475.93546335
2025-08-01 10:00:13,ENTRY,LSK/USDT,Long,0.4168,12.0,5.0016,0,0.0025008,474.26365189
2025-08-01 13:00:11,ENTRY,GLM/USDT,Short,0.25723,840.0,216.0732,0,0.1080366,474.69790741
2025-08-01 13:00:15,ENTRY,YGG/USDT,Short,0.1524,822.0,125.2728,0,0.06263639,474.45004672
2025-08-01 14:00:11,ENTRY,KOMA/USDT,Short,0.0233,949.0,22.1117,0,0.01105585,474.71241563
2025-08-01 14:00:14,ENTRY,EGLD/USDT,Long,14.17,3.0,42.51,0,0.021255,474.64491853
2025-08-01 14:00:18,ENTRY,THETA/USDT,Long,0.778,193.2,150.3096,0,0.07515479,474.62226362
2025-08-01 15:00:10,ENTRY,BSV/USDT,Long,26.55,4.2,111.51,0,0.055755,471.78358967
2025-08-01 15:00:14,ENTRY,GLM/USDT,Long,0.25265,443.0,111.92395,0,0.05596197,471.7449435
2025-08-01 15:00:17,ENTRY,KOMA/USDT,Short,0.02333,1318.0,30.74894,0,0.01537447,471.6160202
2025-08-01 15:00:20,ENTRY,SEI/USDT,Long,0.2884,388.0,111.8992,0,0.0559496,471.5824652
2025-08-01 16:00:10,ENTRY,GLM/USDT,Long,0.25316,33.0,8.35428,0,0.00417714,468.85291529
2025-08-01 18:00:10,ENTRY,XVS/USDT,Long,5.871,6.2,36.4002,0,0.0182001,468.93662192
2025-08-01 18:00:14,ENTRY,BSV/USDT,Long,26.22,1.4,36.708,0,0.01835399,468.8980942
2025-08-01 18:00:18,ENTRY,KOMA/USDT,Long,0.02166,1716.0,37.16856,0,0.01858428,468.81025347
2025-08-01 18:00:21,ENTRY,SEI/USDT,Long,0.2837,131.0,37.1647,0,0.01858235,468.75124895
2025-08-01 18:00:25,ENTRY,HOOK/USDT,Long,0.0982,379.2,37.23744,0,0.01861871,468.73883894
2025-08-01 18:00:28,ENTRY,PERP/USDT,Long,0.2583,143.8,37.14354,0,0.01857177,468.73570776
2025-08-01 18:00:31,ENTRY,EGLD/USDT,Long,13.939,2.6,36.2414,0,0.0181207,468.70368011
2025-08-01 18:00:35,ENTRY,AAVE/USDT,Long,255.43,0.1,25.543,0,0.0127715,468.67353013
2025-08-01 18:00:38,ENTRY,DEFI/USDT,Long,765.7,0.048,36.7536,0,0.01837679,468.6945227
2025-08-01 18:00:41,ENTRY,ADA/USDT,Long,0.7179,51.0,36.6129,0,0.01830644,468.62154511
2025-08-01 18:00:45,ENTRY,THETA/USDT,Long,0.7637,14.9,11.37913,0,0.00568956,468.59096287
2025-08-01 18:00:48,ENTRY,SOL/USDT,Long,167.46,0.22,36.8412,0,0.01842059,468.49556689
2025-08-01 19:00:10,ENTRY,XVS/USDT,Long,5.87,6.9,40.503,0,0.02025149,469.13464696
2025-08-01 19:00:14,ENTRY,BSV/USDT,Long,26.22,3.5,91.77,0,0.045885,469.06631963
2025-08-01 19:00:17,ENTRY,KOMA/USDT,Long,0.02085,5352.0,111.5892,0,0.0557946,468.82289133
2025-08-01 19:00:20,ENTRY,LSK/USDT,Long,0.409,73.0,29.857,0,0.0149285,468.82162422
2025-08-01 20:00:11,ENTRY,KOMA/USDT,Short,0.02154,1022.0,22.01388,0,0.01100694,471.06873716
2025-08-01 20:00:14,ENTRY,HOOK/USDT,Short,0.0986,2268.1,223.63466,0,0.11181733,470.56528308
2025-08-01 21:00:12,ENTRY,KOMA/USDT,Short,0.02224,894.0,19.88256,0,0.00994128,469.29310317
2025-08-01 21:00:15,ENTRY,SEI/USDT,Short,0.2883,257.0,74.0931,0,0.03704654,469.20410226
2025-08-01 21:00:18,ENTRY,YGG/USDT,Short,0.1512,490.0,74.088,0,0.037044,469.07078781
2025-08-01 21:00:22,ENTRY,PERP/USDT,Short,0.2604,258.0,67.1832,0,0.0335916,468.98753818
2025-08-01 21:00:25,ENTRY,AAVE/USDT,Short,258.91,0.1,25.891,0,0.0129455,469.02841099
2025-08-01 21:00:28,ENTRY,DEFI/USDT,Short,774.8,0.077,59.6596,0,0.0298298,468.94277121
2025-08-01 22:00:10,ENTRY,KOMA/USDT,Short,0.02288,2674.0,61.18112,0,0.03059056,467.27047759
2025-08-01 23:00:10,ENTRY,XVS/USDT,Long,5.789,4.2,24.3138,0,0.0121569,466.858102
2025-08-01 23:00:14,ENTRY,GLM/USDT,Long,0.24612,120.0,29.5344,0,0.0147672,466.85057057
2025-08-01 23:00:17,ENTRY,LSK/USDT,Long,0.407,72.0,29.304,0,0.014652,466.79421934
2025-08-01 23:00:20,ENTRY,SEI/USDT,Long,0.2814,104.0,29.2656,0,0.0146328,466.79824917
2025-08-01 23:00:24,ENTRY,YGG/USDT,Long,0.1487,198.0,29.4426,0,0.0147213,466.80482675
2025-08-01 23:00:27,ENTRY,ID/USDT,Long,0.15655,188.0,29.4314,0,0.0147157,466.82268691
2025-08-01 23:00:31,ENTRY,HOOK/USDT,Long,0.0969,305.1,29.56419,0,0.01478209,466.79679422
2025-08-01 23:00:34,ENTRY,PERP/USDT,Long,0.2562,115.1,29.48862,0,0.01474431,466.73809193
2025-08-01 23:00:37,ENTRY,EGLD/USDT,Long,13.846,1.0,13.846,0,0.006923,466.70970291
2025-08-01 23:00:41,ENTRY,AAVE/USDT,Long,253.98,0.1,25.398,0,0.012699,466.32771871
2025-08-01 23:00:44,ENTRY,DEFI/USDT,Long,757.6,0.023,17.4248,0,0.0087124,466.28635275
2025-08-01 23:00:47,ENTRY,1000LUNC/USDT,Long,0.05698,517.0,29.45866,0,0.01472933,466.20075025
2025-08-01 23:00:51,ENTRY,ADA/USDT,Long,0.7118,1.0,0.7118,0,0.0003559,466.14037953
2025-08-01 23:00:54,ENTRY,THETA/USDT,Long,0.7549,39.1,29.51659,0,0.01475829,466.19561408
2025-08-01 23:00:58,ENTRY,SOL/USDT,Long,165.27,0.17,28.0959,0,0.01404795,466.44848429
2025-08-02 00:00:16,ENTRY,XVS/USDT,Short,5.916,0.2,1.1832,0,0.00059159,465.04566267
2025-08-02 00:00:19,ENTRY,BSV/USDT,Short,26.64,0.9,23.976,0,0.011988,465.02901812
2025-08-02 00:00:23,ENTRY,STRK/USDT,Short,0.1159,211.7,24.53603,0,0.01226801,465.0026252
2025-08-02 00:00:26,ENTRY,GLM/USDT,Short,0.25175,97.0,24.41975,0,0.01220987,464.98719489
2025-08-02 00:00:29,ENTRY,KOMA/USDT,Short,0.02364,364.0,8.60496,0,0.00430248,464.96658752
2025-08-02 00:00:33,ENTRY,LSK/USDT,Short,0.4164,58.0,24.1512,0,0.0120756,464.96430852
2025-08-02 00:00:36,ENTRY,SEI/USDT,Short,0.2926,83.0,24.2858,0,0.0121429,464.95412587
2025-08-02 00:00:39,ENTRY,YGG/USDT,Short,0.1533,159.0,24.3747,0,0.01218735,464.90577711
2025-08-02 00:00:43,ENTRY,ID/USDT,Short,0.16009,153.0,24.49377,0,0.01224688,464.88602354
2025-08-02 00:00:46,ENTRY,HOOK/USDT,Short,0.0999,245.4,24.51546,0,0.01225773,464.85452599
2025-08-02 00:00:50,ENTRY,PERP/USDT,Short,0.2634,73.1,19.25454,0,0.00962727,464.80377515
2025-08-02 00:00:53,ENTRY,EGLD/USDT,Short,14.213,0.7,9.9491,0,0.00497455,464.68574686
2025-08-02 00:00:58,ENTRY,DEFI/USDT,Short,779.5,0.031,24.1645,0,0.01208225,464.62600524
2025-08-02 00:01:01,ENTRY,1000LUNC/USDT,Short,0.05865,418.0,24.5157,0,0.01225785,464.61885339
2025-08-02 00:01:04,ENTRY,ADA/USDT,Short,0.7361,33.0,24.2913,0,0.01214565,464.56061163
2025-08-02 00:01:08,ENTRY,THETA/USDT,Short,0.7787,8.4,6.54108,0,0.00327054,464.57814678
2025-08-02 00:01:11,ENTRY,SOL/USDT,Short,169.35,0.14,23.709,0,0.0118545,464.61429717
2025-08-02 01:00:11,ENTRY,BSV/USDT,Short,26.52,4.1,108.732,0,0.054366,468.02695868
2025-08-02 01:00:14,ENTRY,STRK/USDT,Short,0.1157,959.2,110.97944,0,0.05548972,467.94004735
2025-08-02 01:00:17,ENTRY,KOMA/USDT,Short,0.0236,3904.0,92.1344,0,0.0460672,467.93798037
2025-08-02 01:00:21,ENTRY,LSK/USDT,Short,0.4149,42.0,17.4258,0,0.0087129,467.8398125
2025-08-02 02:00:11,ENTRY,STRK/USDT,Long,0.1142,775.6,88.57352,0,0.04428676,466.62821137
2025-08-02 02:00:15,ENTRY,SEI/USDT,Long,0.2898,306.0,88.6788,0,0.0443394,466.58387197
2025-08-02 02:00:18,ENTRY,YGG/USDT,Long,0.1508,166.0,25.0328,0,0.0125164,466.54283182
2025-08-02 02:00:21,ENTRY,HOOK/USDT,Long,0.0985,527.3,51.93905,0,0.02596952,466.44346787
2025-08-02 02:00:25,ENTRY,THETA/USDT,Long,0.7641,115.7,88.40637,0,0.04420318,466.40965274
2025-08-02 05:00:11,ENTRY,KOMA/USDT,Short,0.02425,6076.0,147.343,0,0.0736715,464.06286011
2025-08-02 05:00:14,ENTRY,HOOK/USDT,Short,0.1002,531.6,53.26632,0,0.02663316,464.00282143
2025-08-02 05:00:18,ENTRY,EGLD/USDT,Short,14.172,1.7,24.0924,0,0.0120462,463.88119987
2025-08-02 06:00:11,ENTRY,KOMA/USDT,Long,0.02384,294.0,7.00896,0,0.00350448,464.48894095
2025-08-02 06:00:15,ENTRY,YGG/USDT,Long,0.1511,730.0,110.303,0,0.0551515,464.42763155
2025-08-02 06:00:18,ENTRY,HOOK/USDT,Long,0.0992,1113.4,110.44928,0,0.05522464,464.37009191
2025-08-02 06:00:22,ENTRY,SOL/USDT,Long,163.75,0.67,109.7125,0,0.05485625,464.34885808
2025-08-03 00:00:09,ENTRY,MORPHO/USDT,Long,1.6191,13.5,21.85785,0,0.01092892,464.64430962
