Open time,Open,High,Low,Close,Volume
2024-04-01 09:00:00,30.11,33.31,17.65,18.31,87817239.73
2024-05-01 09:00:00,18.3,24.21,13.386,20.422,89500226.6
2024-06-01 09:00:00,20.422,22.8,12.587,14.542,74779228.53
2024-07-01 09:00:00,14.542,16.5,10.501,10.931,67587471.81
2024-08-01 09:00:00,10.93,11.026,5.943,6.863,75315179.38
2024-09-01 09:00:00,6.863,10.537,6.13,9.756,66797940.67
2024-10-01 09:00:00,9.752,10.535,7.28,7.887,68074966.0
2024-11-01 09:00:00,7.884,12.97,6.797,12.661,74506723.23
2024-12-01 09:00:00,12.661,14.888,7.791,7.939,59689877.21
2025-01-01 09:00:00,7.938,10.68,6.538,7.172,84697693.86
2025-02-01 09:00:00,7.173,7.339,4.023,4.485,50039576.06
2025-03-01 09:00:00,4.486,4.913,2.586,2.64,93763252.76
2025-04-01 09:00:00,2.641,2.771,1.698,2.519,111184890.26
2025-05-01 09:00:00,2.519,3.67,1.951,2.223,109257337.32
2025-06-01 09:00:00,2.223,2.434,1.408,1.606,91297666.66
2025-07-01 09:00:00,1.606,6.186,1.366,4.509,1168039937.07
2025-08-01 09:00:00,4.509,5.336,3.164,3.173,421927435.96
2025-09-01 09:00:00,3.173,4.526,2.976,4.274,266163619.26
2025-10-01 09:00:00,4.274,4.274,4.274,4.274,0.0
2025-11-01 09:00:00,4.274,4.274,4.274,4.274,0.0
2025-12-01 09:00:00,4.274,4.274,4.274,4.274,0.0
2026-01-01 09:00:00,4.274,4.274,4.274,4.274,0.0
2026-02-01 09:00:00,4.274,4.274,4.274,4.274,0.0
