Open time,Open,High,Low,Close,Volume
2025-01-01 09:00:00,8.32,9.333,4.69,4.999,40606766.9
2025-02-01 09:00:00,5.0,6.98,3.325,6.317,58167319.8
2025-03-01 09:00:00,6.318,6.826,5.598,6.003,20674691.4
2025-04-01 09:00:00,6.004,6.15,4.433,5.512,23203041.6
2025-05-01 09:00:00,5.515,5.878,5.003,5.4,17083394.6
2025-06-01 09:00:00,5.4,6.547,3.168,6.214,53147185.0
2025-07-01 09:00:00,6.214,9.985,6.102,8.438,34424955.0
2025-08-01 09:00:00,8.437,10.355,7.621,8.996,29394824.9
2025-09-01 09:00:00,8.996,12.35,8.574,9.775,41422199.1
2025-10-01 09:00:00,9.774,10.935,7.026,10.694,11665430.0
2025-11-01 09:00:00,10.694,11.088,8.023,9.269,15321789.0
2025-12-01 09:00:00,9.269,9.507,6.805,8.763,16888651.6
2026-01-01 09:00:00,8.765,8.996,1.396,1.508,145978169.2
2026-02-01 09:00:00,1.508,1.689,1.002,1.147,112771951.8
