Open time,Open,High,Low,Close,Volume
2020-02-01 09:00:00,2.435,2.621,1.997,2.03,6675182.6
2020-03-01 09:00:00,2.031,2.334,0.728,1.21,24613518.4
2020-04-01 09:00:00,1.21,1.715,1.169,1.538,34549793.8
2020-05-01 09:00:00,1.536,1.842,1.348,1.748,65770475.2
2020-06-01 09:00:00,1.747,1.947,1.514,1.642,63111041.3
2020-07-01 09:00:00,1.643,2.491,1.598,2.424,133621780.7
2020-08-01 09:00:00,2.423,5.517,2.23,3.361,232318121.0
2020-09-01 09:00:00,3.361,3.783,2.141,2.437,143817488.7
2020-10-01 09:00:00,2.437,2.528,1.877,1.963,60003160.5
2020-11-01 09:00:00,1.963,3.299,1.748,2.935,114563039.1
2020-12-01 09:00:00,2.938,3.029,1.86,2.222,85438905.3
2021-01-01 09:00:00,2.222,4.187,2.192,3.287,257664330.8
2021-02-01 09:00:00,3.286,8.866,3.173,4.857,319667437.9
2021-03-01 09:00:00,4.858,9.644,4.828,9.414,266864650.3
2021-04-01 09:00:00,9.414,21.058,9.414,15.037,332180109.5
2021-05-01 09:00:00,15.035,35.69,6.363,12.39,412986295.7
2021-06-01 09:00:00,12.388,12.764,4.433,7.669,245678208.7
2021-07-01 09:00:00,7.67,8.491,4.813,7.974,173575914.2
2021-08-01 09:00:00,7.97,15.2,7.165,12.42,392136834.2
2021-09-01 09:00:00,12.422,17.031,8.533,10.405,238173446.3
2021-10-01 09:00:00,10.405,16.442,10.382,15.88,277729669.9
2021-11-01 09:00:00,15.874,19.19,13.276,16.093,266427927.3
2021-12-01 09:00:00,16.094,16.591,7.992,8.706,180822017.3
2022-01-01 09:00:00,8.71,10.132,4.94,6.061,162888000.1
2022-02-01 09:00:00,6.059,7.977,4.98,6.485,275191917.6
2022-03-01 09:00:00,6.486,9.642,5.468,8.277,256104389.1
2022-04-01 09:00:00,8.276,9.352,5.206,5.308,160782822.6
2022-05-01 09:00:00,5.306,6.109,3.109,4.165,231910283.9
2022-06-01 09:00:00,4.165,4.317,2.378,2.818,180321867.9
2022-07-01 09:00:00,2.819,5.242,2.503,4.055,310245258.5
2022-08-01 09:00:00,4.053,4.372,2.938,3.113,172110574.9
2022-09-01 09:00:00,3.114,3.445,2.708,2.85,127152686.4
2022-10-01 09:00:00,2.849,3.002,2.44,2.861,105031316.3
2022-11-01 09:00:00,2.861,3.088,1.864,2.233,170962702.1
2022-12-01 09:00:00,2.233,2.423,1.762,1.83,185877852.1
2023-01-01 09:00:00,1.831,2.843,1.818,2.683,202852254.5
2023-02-01 09:00:00,2.684,4.278,2.492,3.206,318922689.8
2023-03-01 09:00:00,3.207,3.863,2.349,3.105,266650499.3
2023-04-01 09:00:00,3.105,3.522,2.72,2.832,151492530.8
2023-05-01 09:00:00,2.833,2.889,2.461,2.619,146148554.4
2023-06-01 09:00:00,2.619,2.798,1.838,2.671,149657998.5
2023-07-01 09:00:00,2.671,3.477,2.506,2.582,524274873.4
2023-08-01 09:00:00,2.582,2.94,1.864,2.161,307582125.8
2023-09-01 09:00:00,2.161,2.272,1.973,2.229,88276022.6
2023-10-01 09:00:00,2.229,3.329,2.042,3.165,278854503.5
2023-11-01 09:00:00,3.166,3.569,2.713,3.029,277081092.5
2023-12-01 09:00:00,3.029,3.854,2.85,3.72,251844470.4
2024-01-01 09:00:00,3.721,3.788,2.648,2.825,179306540.7
2024-02-01 09:00:00,2.825,3.868,2.774,3.658,179278772.0
2024-03-01 09:00:00,3.66,6.218,3.626,4.895,406299931.8
2024-04-01 09:00:00,4.896,5.732,3.26,3.678,397613407.2
2024-05-01 09:00:00,3.678,3.996,3.313,3.5,125943395.7
2024-06-01 09:00:00,3.5,3.647,2.331,2.617,77257803.7
2024-07-01 09:00:00,2.618,2.835,1.881,2.56,103296436.9
2024-08-01 09:00:00,2.56,2.708,1.767,2.276,116233806.0
2024-09-01 09:00:00,2.276,2.798,2.011,2.605,60683923.4
2024-10-01 09:00:00,2.604,2.718,2.109,2.228,57344563.7
2024-11-01 09:00:00,2.228,3.999,2.054,3.928,179988285.6
2024-12-01 09:00:00,3.927,5.753,2.65,3.009,177414593.2
2025-01-01 09:00:00,3.009,3.82,2.621,3.5,204065000.5
2025-02-01 09:00:00,3.5,4.339,2.203,2.545,1058023614.6
2025-03-01 09:00:00,2.544,2.736,1.878,1.915,128019253.5
2025-04-01 09:00:00,1.916,2.383,1.57,2.142,119384055.8
2025-05-01 09:00:00,2.142,2.74,1.915,1.992,99849682.0
2025-06-01 09:00:00,1.993,2.287,1.723,1.969,74870026.3
2025-07-01 09:00:00,1.968,2.713,1.859,2.101,112177119.1
2025-08-01 09:00:00,2.102,3.485,1.956,2.711,662750363.2
2025-09-01 09:00:00,2.711,2.885,2.036,2.124,243633249.7
2025-10-01 09:00:00,2.124,2.463,1.207,1.853,215109226.5
2025-11-01 09:00:00,1.853,2.023,1.448,1.537,94499271.5
2025-12-01 09:00:00,1.537,1.609,1.176,1.345,148911446.1
2026-01-01 09:00:00,1.344,1.655,0.978,1.064,125048791.0
2026-02-01 09:00:00,1.063,1.119,0.765,0.91,70744658.5
