Open time,Open,High,Low,Close,Volume
2024-07-01 09:00:00,6.7,7.041,5.691,5.74,21210982.7
2024-08-01 09:00:00,5.74,6.579,3.42,4.992,328646595.7
2024-09-01 09:00:00,4.992,6.821,4.439,6.438,283944611.1
2024-10-01 09:00:00,6.439,6.714,4.312,4.775,266586186.9
2024-11-01 09:00:00,4.776,9.152,4.117,8.894,547435441.6
2024-12-01 09:00:00,8.895,11.851,6.082,6.79,480294334.5
2025-01-01 09:00:00,6.789,9.025,5.305,5.854,348763275.5
2025-02-01 09:00:00,5.853,6.023,3.275,3.815,331052330.5
2025-03-01 09:00:00,3.816,4.488,2.515,3.402,392953864.9
2025-04-01 09:00:00,3.401,4.775,2.501,4.455,503022214.9
2025-05-01 09:00:00,4.455,5.523,3.627,3.874,341395782.1
2025-06-01 09:00:00,3.873,4.187,2.601,3.213,292433255.5
2025-07-01 09:00:00,3.214,4.718,3.024,3.723,308241648.8
2025-08-01 09:00:00,3.723,4.271,3.339,3.417,300730601.9
2025-09-01 09:00:00,3.418,4.164,3.226,3.333,269307921.1
2025-10-01 09:00:00,3.333,3.74,0.508,2.228,476222010.1
2025-11-01 09:00:00,2.228,2.931,1.629,1.709,555241844.8
2025-12-01 09:00:00,1.709,1.789,1.177,1.286,332942805.3
2026-01-01 09:00:00,1.286,2.71,1.281,1.549,981636431.5
2026-02-01 09:00:00,1.549,1.659,1.121,1.405,479959790.1
