Open time,Open,High,Low,Close,Volume
2024-02-01 09:00:00,2.556,3.543,2.365,2.736,343114621.8
2024-03-01 09:00:00,2.736,4.55,2.377,3.9769,336343888.8
2024-04-01 09:00:00,3.9775,4.1205,2.4899,2.5961,132406901.5
2024-05-01 09:00:00,2.5965,3.3599,2.4232,2.8886,93766645.7
2024-06-01 09:00:00,2.8889,3.3222,2.0028,2.1074,100531559.4
2024-07-01 09:00:00,2.107,2.4018,1.5402,1.8317,115115349.7
2024-08-01 09:00:00,1.8315,1.8565,1.2295,1.6601,117164802.7
2024-09-01 09:00:00,1.659,1.9378,1.3643,1.7776,91116743.7
2024-10-01 09:00:00,1.7773,1.8299,1.4142,1.4583,120662631.1
2024-11-01 09:00:00,1.4583,2.2834,1.247,2.2024,296707780.9
2024-12-01 09:00:00,2.2022,2.5264,1.5,1.9395,366628527.4
2025-01-01 09:00:00,1.9395,2.0752,1.4257,1.5051,146542230.2
2025-02-01 09:00:00,1.505,1.5226,0.8949,0.9562,202310582.9
2025-03-01 09:00:00,0.9564,1.052,0.6621,0.6934,181470964.4
2025-04-01 09:00:00,0.6933,0.7449,0.4607,0.5516,233057293.6
2025-05-01 09:00:00,0.5515,0.774,0.4682,0.6009,229245476.4
2025-06-01 09:00:00,0.6009,0.621,0.3913,0.4448,160893174.9
2025-07-01 09:00:00,0.4448,0.624,0.4236,0.5221,602374176.2
2025-08-01 09:00:00,0.5221,0.6057,0.4769,0.5049,189428689.2
2025-09-01 09:00:00,0.5046,0.5704,0.4371,0.4592,270834017.3
2025-10-01 09:00:00,0.4592,0.4965,0.2406,0.3273,177468754.2
2025-11-01 09:00:00,0.3274,0.3389,0.1656,0.1659,256741098.8
2025-12-01 09:00:00,0.166,0.1998,0.1261,0.1325,471901391.2
2026-01-01 09:00:00,0.1325,0.2177,0.1029,0.1113,1730487189.5
2026-02-01 09:00:00,0.1113,0.1189,0.0781,0.1023,586926376.3
