Open time,Open,High,Low,Close,Volume
2024-10-01 09:00:00,6.5,7.3,4.432,4.636,133164050.5
2024-11-01 09:00:00,4.634,5.197,3.699,4.398,318679515.5
2024-12-01 09:00:00,4.399,5.519,2.928,3.213,129793886.7
2025-01-01 09:00:00,3.212,3.625,2.643,3.207,95282595.9
2025-02-01 09:00:00,3.206,3.208,2.031,2.385,66638352.2
2025-03-01 09:00:00,2.384,3.048,2.242,2.704,84469075.4
2025-04-01 09:00:00,2.703,2.734,2.166,2.356,26915933.6
2025-05-01 09:00:00,2.355,2.81,2.221,2.312,42319217.2
2025-06-01 09:00:00,2.312,2.366,1.629,1.86,17996362.7
2025-07-01 09:00:00,1.859,2.967,1.764,2.192,66884506.0
2025-08-01 09:00:00,2.192,3.652,1.921,1.93,148722665.5
2025-09-01 09:00:00,1.93,2.265,1.646,2.146,81457153.3
2025-10-01 09:00:00,2.144,2.219,0.511,1.387,76720960.5
2025-11-01 09:00:00,1.387,2.287,1.135,1.883,96645531.4
2025-12-01 09:00:00,1.884,2.255,1.392,1.763,54966423.9
2026-01-01 09:00:00,1.762,2.551,1.72,2.011,43211252.7
2026-02-01 09:00:00,2.012,2.149,1.218,1.346,28753476.3
