Open time,Open,High,Low,Close,Volume
2023-11-01 09:00:00,0.4673,0.478,0.3105,0.3568,1770818729.0
2023-12-01 09:00:00,0.357,0.7849,0.355,0.609,4274847796.0
2024-01-01 09:00:00,0.6091,0.7413,0.4512,0.5713,1402689029.0
2024-02-01 09:00:00,0.5714,1.4293,0.5521,1.2379,2507886056.0
2024-03-01 09:00:00,1.2379,1.6032,1.0243,1.3448,685666610.0
2024-04-01 09:00:00,1.345,1.377,0.6954,0.8812,505402445.0
2024-05-01 09:00:00,0.8814,1.1522,0.8156,0.965,392888463.0
2024-06-01 09:00:00,0.9651,1.1425,0.601,0.673,276455542.0
2024-07-01 09:00:00,0.6731,0.7839,0.4493,0.6399,527517636.0
2024-08-01 09:00:00,0.6401,0.8003,0.367,0.6885,925381620.0
2024-09-01 09:00:00,0.6883,1.1362,0.5776,1.0388,2099175863.0
2024-10-01 09:00:00,1.0387,1.433,0.9225,1.2726,962329538.0
2024-11-01 09:00:00,1.2726,1.5959,1.0255,1.4497,583519599.0
2024-12-01 09:00:00,1.4496,2.2748,1.2325,1.3419,619719123.0
2025-01-01 09:00:00,1.3419,1.6417,0.8236,0.9611,466232775.0
2025-02-01 09:00:00,0.9612,0.9927,0.5155,0.5604,542519950.0
2025-03-01 09:00:00,0.5604,0.666,0.3747,0.4939,838401952.0
2025-04-01 09:00:00,0.4941,0.7591,0.3678,0.6849,724645654.0
2025-05-01 09:00:00,0.6852,0.931,0.618,0.6762,402426660.0
2025-06-01 09:00:00,0.6767,0.7619,0.469,0.6487,335938992.0
2025-07-01 09:00:00,0.6487,0.9422,0.6038,0.7511,404356031.0
2025-08-01 09:00:00,0.7508,0.8404,0.563,0.5678,313994939.0
2025-09-01 09:00:00,0.5676,0.929,0.4759,0.6144,1500784357.0
2025-10-01 09:00:00,0.6143,0.7128,0.1975,0.3622,1365513258.0
2025-11-01 09:00:00,0.3623,0.3779,0.1702,0.2389,2947483796.0
2025-12-01 09:00:00,0.2388,0.2935,0.2018,0.2034,1892575531.0
2026-01-01 09:00:00,0.2034,0.244,0.1346,0.1498,884457024.0
2026-02-01 09:00:00,0.1498,0.158,0.1045,0.1161,1085458666.0
