Open time,Open,High,Low,Close,Volume
2024-11-01 09:00:00,2.4077,4.0767,2.265,3.1218,1626224256.2
2024-12-01 09:00:00,3.1218,3.2554,1.062,1.6854,3177749482.7
2025-01-01 09:00:00,1.6855,1.757,0.6079,0.7049,1655273013.6
2025-02-01 09:00:00,0.7048,0.8882,0.3632,0.5909,3365098834.0
2025-03-01 09:00:00,0.591,0.6415,0.2864,0.2971,2428213525.7
2025-04-01 09:00:00,0.2971,0.3084,0.1942,0.2958,963865149.5
2025-05-01 09:00:00,0.2957,0.4036,0.2321,0.2527,1159014903.2
2025-06-01 09:00:00,0.2525,0.2792,0.2088,0.2612,1243452523.1
2025-07-01 09:00:00,0.2612,0.6318,0.2283,0.3834,3477738722.2
2025-08-01 09:00:00,0.3834,0.4843,0.3288,0.3468,913730042.5
2025-09-01 09:00:00,0.3467,0.724,0.3068,0.4094,2495059895.6
2025-10-01 09:00:00,0.4093,0.5142,0.0744,0.2171,1308200191.6
2025-11-01 09:00:00,0.217,0.2238,0.1279,0.1493,538429478.6
2025-12-01 09:00:00,0.1492,0.2139,0.1274,0.2075,1083221460.5
2026-01-01 09:00:00,0.2075,0.2959,0.2029,0.2453,482594342.7
2026-02-01 09:00:00,0.2454,0.2889,0.2064,0.2542,413637493.2
