Open time,Open,High,Low,Close,Volume
2023-05-01 09:00:00,2.657,2.944,1.886,1.93,84355046.0
2023-06-01 09:00:00,1.931,2.041,1.271,1.601,136528732.0
2023-07-01 09:00:00,1.602,1.767,1.52,1.599,192049860.0
2023-08-01 09:00:00,1.599,1.712,1.236,1.324,108529906.0
2023-09-01 09:00:00,1.323,1.525,1.264,1.403,151980071.0
2023-10-01 09:00:00,1.404,1.779,1.217,1.471,384673376.0
2023-11-01 09:00:00,1.472,2.147,1.432,1.931,199882843.0
2023-12-01 09:00:00,1.93,2.495,1.791,2.231,182716970.0
2024-01-01 09:00:00,2.231,6.968,1.719,4.476,2565155743.0
2024-02-01 09:00:00,4.475,4.81,3.48,4.109,588909780.0
2024-03-01 09:00:00,4.11,5.488,3.231,4.415,324382354.0
2024-04-01 09:00:00,4.414,4.456,2.06,2.587,177742737.0
2024-05-01 09:00:00,2.587,4.711,2.397,3.451,1473376203.0
2024-06-01 09:00:00,3.452,3.892,2.313,2.428,214980124.0
2024-07-01 09:00:00,2.429,2.834,1.659,2.493,352863490.0
2024-08-01 09:00:00,2.494,2.586,1.493,2.267,356875272.0
2024-09-01 09:00:00,2.266,2.823,2.002,2.627,215051014.0
2024-10-01 09:00:00,2.626,3.141,2.375,2.514,405247859.0
2024-11-01 09:00:00,2.513,3.335,1.982,3.236,217482530.0
2024-12-01 09:00:00,3.236,4.451,2.347,2.65,158881640.0
2025-01-01 09:00:00,2.65,3.275,2.013,2.255,111927800.0
2025-02-01 09:00:00,2.254,2.324,1.328,1.503,157303862.0
2025-03-01 09:00:00,1.503,1.667,1.049,1.165,412682979.0
2025-04-01 09:00:00,1.165,1.262,0.886,1.185,105191429.0
2025-05-01 09:00:00,1.186,1.413,1.017,1.09,131486143.0
2025-06-01 09:00:00,1.088,1.854,0.998,1.12,895754168.0
2025-07-01 09:00:00,1.119,2.047,1.045,1.241,565691585.0
2025-08-01 09:00:00,1.242,1.896,1.145,1.399,727543855.0
2025-09-01 09:00:00,1.399,1.465,1.116,1.191,180574508.0
2025-10-01 09:00:00,1.191,1.54,0.409,1.066,384077597.0
2025-11-01 09:00:00,1.067,1.265,0.776,0.8095,171710916.0
2025-12-01 09:00:00,0.8094,0.8581,0.6502,0.7,83979113.0
2026-01-01 09:00:00,0.7001,0.8542,0.525,0.5746,85497528.0
2026-02-01 09:00:00,0.5746,0.6195,0.4054,0.434,262058712.0
