Open time,Open,High,Low,Close,Volume
2025-01-01 09:00:00,10.636,10.9,5.311,5.659,87648529.0
2025-02-01 09:00:00,5.66,8.95,2.294,4.04,1086470742.37
2025-03-01 09:00:00,4.04,4.225,2.468,2.587,134591401.5
2025-04-01 09:00:00,2.588,4.44,1.781,4.173,103240457.91
2025-05-01 09:00:00,4.176,5.244,2.706,2.825,77233204.53
2025-06-01 09:00:00,2.825,3.987,2.306,2.959,112431347.93
2025-07-01 09:00:00,2.959,3.64,2.619,2.721,48341743.2
2025-08-01 09:00:00,2.721,4.731,2.381,2.768,107642871.48
2025-09-01 09:00:00,2.768,2.886,1.862,1.974,40161094.21
2025-10-01 09:00:00,1.974,2.636,1.246,1.519,121167267.82
2025-11-01 09:00:00,1.521,1.647,0.913,1.013,72606513.34
2025-12-01 09:00:00,1.013,1.724,0.916,1.637,109247752.46
2026-01-01 09:00:00,1.637,3.678,1.599,2.34,283925724.23
2026-02-01 09:00:00,2.342,5.686,1.549,5.415,625337657.1
