Open time,Open,High,Low,Close,Volume
2025-03-01 09:00:00,0.491,0.5998,0.3804,0.4758,1664461588.0
2025-04-01 09:00:00,0.4756,0.6886,0.3637,0.5561,3380233017.0
2025-05-01 09:00:00,0.556,0.7734,0.4768,0.4893,1225292067.0
2025-06-01 09:00:00,0.4893,0.5492,0.3577,0.409,564001610.0
2025-07-01 09:00:00,0.4089,0.4972,0.3781,0.3932,789673619.0
2025-08-01 09:00:00,0.3932,0.4723,0.3598,0.3845,559696259.0
2025-09-01 09:00:00,0.3844,0.4558,0.3598,0.3918,579985939.0
2025-10-01 09:00:00,0.3918,0.4192,0.0592,0.2212,5660196652.0
2025-11-01 09:00:00,0.2213,0.27,0.1437,0.1571,2066224284.0
2025-12-01 09:00:00,0.1571,0.1699,0.115,0.1187,1231356395.0
2026-01-01 09:00:00,0.1188,0.1709,0.0834,0.0942,1945109796.0
2026-02-01 09:00:00,0.0942,0.0981,0.0679,0.07843,1154572325.0
