Open time,Open,High,Low,Close,Volume
2020-08-01 09:00:00,2.5,4.8188,1.7,3.5978,429206220.9
2020-09-01 09:00:00,3.6013,3.8884,2.0857,2.5788,238956275.2
2020-10-01 09:00:00,2.5757,3.5666,2.0575,3.2157,237369270.4
2020-11-01 09:00:00,3.2138,8.6204,3.0341,7.0905,296533007.3
2020-12-01 09:00:00,7.0953,9.26,5.417,6.196,151804741.9
2021-01-01 09:00:00,6.1946,8.333,5.0056,6.5565,189562007.7
2021-02-01 09:00:00,6.5526,14.1004,6.4026,8.9154,141540244.7
2021-03-01 09:00:00,8.9183,13.58,8.844,11.9887,81575801.3
2021-04-01 09:00:00,11.9919,24.6,11.0943,23.2712,189242591.2
2021-05-01 09:00:00,23.2678,42.0,11.705,13.847,196695700.1
2021-06-01 09:00:00,13.857,18.949,11.411,16.308,192643974.6
2021-07-01 09:00:00,16.303,17.841,11.626,16.599,107326639.1
2021-08-01 09:00:00,16.6,29.276,15.465,28.134,121253086.6
2021-09-01 09:00:00,28.125,34.901,18.867,24.229,101932812.0
2021-10-01 09:00:00,24.239,34.67,23.815,26.456,69599627.8
2021-11-01 09:00:00,26.451,27.526,17.778,21.358,51294099.6
2021-12-01 09:00:00,21.374,23.373,13.842,14.516,133083201.2
2022-01-01 09:00:00,14.511,16.335,7.555,9.127,184158126.4
2022-02-01 09:00:00,9.124,16.52,8.184,16.241,311479928.0
2022-03-01 09:00:00,16.246,63.463,16.055,54.401,915326770.0
2022-04-01 09:00:00,54.406,57.984,12.246,12.659,715766802.9
2022-05-01 09:00:00,12.659,16.93,4.121,8.993,1907532780.8
2022-06-01 09:00:00,8.991,11.254,4.121,5.069,3332662008.6
2022-07-01 09:00:00,5.067,6.621,4.305,5.662,1037590229.8
2022-08-01 09:00:00,5.661,6.663,4.294,4.494,872014340.5
2022-09-01 09:00:00,4.493,5.265,3.615,3.818,535236378.6
2022-10-01 09:00:00,3.819,3.965,3.01,3.423,559713106.3
2022-11-01 09:00:00,3.424,3.768,2.033,2.376,853289361.4
2022-12-01 09:00:00,2.376,2.562,1.2456,1.3071,2323348072.1
2023-01-01 09:00:00,1.3069,2.978,1.267,2.4796,1521462015.4
2023-02-01 09:00:00,2.4797,3.3867,2.1949,2.4672,829316419.4
2023-03-01 09:00:00,2.4672,2.6836,1.8141,2.1111,615602107.8
2023-04-01 09:00:00,2.1109,2.385,1.8068,1.8848,511211001.6
2023-05-01 09:00:00,1.885,2.1396,1.4912,1.7216,1135502466.0
2023-06-01 09:00:00,1.7217,2.8849,1.1869,1.9749,3843915541.5
2023-07-01 09:00:00,1.9748,2.4431,1.8153,1.9224,3549192853.1
2023-08-01 09:00:00,1.9223,1.989,1.282,1.4993,840389474.6
2023-09-01 09:00:00,1.4993,1.7289,1.4466,1.5689,824154213.7
2023-10-01 09:00:00,1.5691,2.148,1.41,1.7766,817374645.7
2023-11-01 09:00:00,1.7766,2.4386,1.7141,2.076,82346499.8
2023-12-01 09:00:00,2.0762,3.1665,2.0334,2.6776,826101194.7
2024-01-01 09:00:00,2.6777,3.2161,2.0259,2.1163,494918402.8
2024-02-01 09:00:00,2.116,2.858,1.9905,2.711,368944109.8
2024-03-01 09:00:00,2.7123,4.99,2.5,3.8086,1041903396.7
2024-04-01 09:00:00,3.8082,4.2424,2.0285,2.2598,1228392559.4
2024-05-01 09:00:00,2.2592,2.6358,2.0652,2.3945,423130953.8
2024-06-01 09:00:00,2.3945,2.4028,1.1766,1.3355,715066502.3
2024-07-01 09:00:00,1.3355,1.3355,1.3355,1.3355,0.0
2024-08-01 09:00:00,1.3355,1.3355,1.3355,1.3355,0.0
2024-09-01 09:00:00,1.3355,1.3355,1.3355,1.3355,0.0
2024-10-01 09:00:00,1.3355,1.3355,1.3355,1.3355,0.0
2024-11-01 09:00:00,1.3355,1.3355,1.3355,1.3355,0.0
2024-12-01 09:00:00,1.3355,1.3355,1.3355,1.3355,0.0
2025-01-01 09:00:00,1.3355,1.3355,1.3355,1.3355,0.0
2025-02-01 09:00:00,1.3355,1.3355,1.3355,1.3355,0.0
2025-03-01 09:00:00,1.3355,1.3355,1.3355,1.3355,0.0
2025-04-01 09:00:00,1.3355,1.3355,1.3355,1.3355,0.0
2025-05-01 09:00:00,1.3355,1.3355,1.3355,1.3355,0.0
2025-06-01 09:00:00,1.3355,1.3355,1.3355,1.3355,0.0
2025-07-01 09:00:00,1.3355,1.3355,1.3355,1.3355,0.0
2025-08-01 09:00:00,1.3355,1.3355,1.3355,1.3355,0.0
2025-09-01 09:00:00,1.3355,1.3355,1.3355,1.3355,0.0
2025-10-01 09:00:00,1.3355,1.3355,1.3355,1.3355,0.0
2025-11-01 09:00:00,1.3355,1.3355,1.3355,1.3355,0.0
2025-12-01 09:00:00,1.3355,1.3355,1.3355,1.3355,0.0
2026-01-01 09:00:00,1.3355,1.3355,1.3355,1.3355,0.0
2026-02-01 09:00:00,1.3355,1.3355,1.3355,1.3355,0.0
