Open time,Open,High,Low,Close,Volume
2020-02-01 09:00:00,65.99,76.01,47.97,48.98,3231665.515
2020-03-01 09:00:00,48.99,53.58,16.91,30.92,5825230.161
2020-04-01 09:00:00,30.89,49.04,29.81,44.76,7696698.435
2020-05-01 09:00:00,44.77,56.4,37.82,51.54,5502520.441
2020-06-01 09:00:00,51.54,61.5,48.13,51.48,5724037.666
2020-07-01 09:00:00,51.49,75.04,49.68,75.0,8178057.829
2020-08-01 09:00:00,75.0,103.0,70.5,78.33,14796209.811
2020-09-01 09:00:00,78.32,86.21,50.34,64.13,9109450.86
2020-10-01 09:00:00,64.13,75.82,54.15,58.19,10233638.515
2020-11-01 09:00:00,58.18,90.13,51.58,79.01,16112243.722
2020-12-01 09:00:00,79.01,82.32,46.74,63.94,9008943.196
2021-01-01 09:00:00,63.97,120.89,54.29,85.77,23624500.134
2021-02-01 09:00:00,85.73,191.4,84.15,111.42,17125600.557
2021-03-01 09:00:00,111.39,161.5,110.12,158.5,11272804.436
2021-04-01 09:00:00,158.5,299.83,152.9,245.65,16819289.727
2021-05-01 09:00:00,245.74,372.62,87.06,161.63,26391910.59
2021-06-01 09:00:00,161.64,175.1,86.17,130.8,13724224.393
2021-07-01 09:00:00,130.79,130.86,82.91,111.17,10674144.839
2021-08-01 09:00:00,111.18,171.3,109.24,143.92,11965431.831
2021-09-01 09:00:00,143.88,176.38,100.11,107.12,14384556.972
2021-10-01 09:00:00,107.16,190.78,106.22,167.37,19338373.595
2021-11-01 09:00:00,167.4,305.64,141.24,220.44,28891858.752
2021-12-01 09:00:00,220.41,249.0,140.75,146.39,22878818.726
2022-01-01 09:00:00,146.38,156.05,81.19,94.38,21207888.519
2022-02-01 09:00:00,94.42,134.94,84.64,118.51,18232094.998
2022-03-01 09:00:00,118.51,216.56,103.56,178.34,38939897.439
2022-04-01 09:00:00,178.32,193.76,108.36,113.84,23936562.103
2022-05-01 09:00:00,113.81,139.85,69.25,93.19,32435999.873
2022-06-01 09:00:00,93.21,96.34,51.7,54.5,20931925.035
2022-07-01 09:00:00,54.5,70.07,49.49,64.42,21950324.786
2022-08-01 09:00:00,64.41,82.74,58.82,59.78,32126266.099
2022-09-01 09:00:00,59.77,66.92,51.67,55.64,18743792.342
2022-10-01 09:00:00,55.63,58.09,46.73,52.52,15148622.466
2022-11-01 09:00:00,52.53,54.78,32.85,43.3,30190565.47
2022-12-01 09:00:00,43.31,47.9,36.88,37.27,21342746.689
2023-01-01 09:00:00,37.27,49.72,36.47,45.16,28270298.566
2023-02-01 09:00:00,45.15,51.36,41.41,43.07,31262271.953
2023-03-01 09:00:00,43.08,44.85,29.69,38.74,42471235.601
2023-04-01 09:00:00,38.73,43.33,34.5,37.56,25469391.786
2023-05-01 09:00:00,37.57,37.9,30.0,32.18,20590798.973
2023-06-01 09:00:00,32.19,34.68,21.37,33.77,26580223.152
2023-07-01 09:00:00,33.77,34.71,27.4,30.28,25179698.251
2023-08-01 09:00:00,30.29,30.73,21.58,24.75,12429112.001
2023-09-01 09:00:00,24.74,27.26,23.56,26.91,10365856.929
2023-10-01 09:00:00,26.9,28.95,24.31,28.32,10646543.25
2023-11-01 09:00:00,28.32,31.84,25.12,29.57,17580135.053
2023-12-01 09:00:00,29.56,34.84,25.47,26.93,22274979.806
2024-01-01 09:00:00,26.94,28.34,18.62,21.69,32015956.923
2024-02-01 09:00:00,21.69,30.48,19.08,27.94,33901224.182
2024-03-01 09:00:00,27.95,35.76,24.29,30.5,35444551.618
2024-04-01 09:00:00,30.5,30.59,17.66,21.35,21970742.708
2024-05-01 09:00:00,21.34,28.17,20.14,26.98,14499527.422
2024-06-01 09:00:00,26.99,28.62,18.63,20.94,14127545.373
2024-07-01 09:00:00,20.94,33.66,15.68,33.47,46082779.536
2024-08-01 09:00:00,33.48,45.38,25.34,32.17,60894089.924
2024-09-01 09:00:00,32.16,32.52,26.13,27.76,14917523.665
2024-10-01 09:00:00,27.75,41.13,24.35,36.8,25639510.74
2024-11-01 09:00:00,36.79,62.3,35.54,59.35,28332651.076
2024-12-01 09:00:00,59.35,79.43,41.07,56.25,35497196.894
2025-01-01 09:00:00,56.26,62.08,40.65,43.22,11406367.209
2025-02-01 09:00:00,43.22,43.74,24.14,37.55,8825414.783
2025-03-01 09:00:00,37.57,43.17,27.85,39.34,7456988.888
2025-04-01 09:00:00,39.33,42.53,27.92,36.0,17101557.168
2025-05-01 09:00:00,36.0,56.8,34.3,50.06,8207188.877
2025-06-01 09:00:00,50.08,56.09,36.32,38.21,4800949.226
2025-07-01 09:00:00,38.21,47.18,36.22,36.9,5461656.935
2025-08-01 09:00:00,36.9,45.2,34.38,40.38,6555381.238
2025-09-01 09:00:00,40.38,77.77,38.64,74.14,11593119.53
2025-10-01 09:00:00,74.14,411.99,74.02,403.58,117025206.542
2025-11-01 09:00:00,403.61,775.0,366.3,427.99,145192430.084
2025-12-01 09:00:00,427.99,555.55,300.78,511.78,99031961.588
2026-01-01 09:00:00,511.79,536.99,272.49,302.81,57676911.788
2026-02-01 09:00:00,302.8,332.82,184.3,220.14,49822184.892
