시간,티커,구분,거래가격,거래수량,거래금액(USDT),이번거래수익률(%),총수익률(%),사유
2025-09-27 14:00:13,MYXUSDT,buy,10.956,7.0,76.692,,,entry_signal
2025-09-27 14:57:42,MYXUSDT,sell,11.08,7.0,77.56,10.5135,10.5135,trailing_stop
2025-09-28 19:00:20,BANKUSDT,buy,0.07497,1094.0,82.0172,,,entry_signal
2025-09-29 00:35:32,BANKUSDT,sell,0.07345,1094.0,80.3543,-21.0667,-12.768,trailing_stop
2025-09-29 02:00:12,PROMPTUSDT,buy,0.1381,587.0,81.0647,,,entry_signal
2025-09-29 02:14:05,PROMPTUSDT,sell,0.1336,587.0,78.4232,-33.372,-41.8791,trailing_stop
2025-09-29 03:00:18,PROMPTUSDT,buy,0.1351,590.0,79.709,,,entry_signal
2025-09-29 04:00:15,VINEUSDT,buy,0.05446,1392.0,75.8083,,,entry_signal
2025-09-29 06:13:28,PROMPTUSDT,sell,0.132,590.0,77.88,-23.7368,-55.6752,trailing_stop
2025-09-29 07:08:59,VINEUSDT,sell,0.05612,417.0,23.402,29.6689,-42.5245,take_profit_1st_3%
2025-09-29 08:00:08,VELVETUSDT,buy,0.193101,396.0,76.468,,,entry_signal
2025-09-29 08:29:30,VELVETUSDT,sell,0.18779,396.0,74.3648,-28.2927,-58.7859,trailing_stop
2025-09-29 09:00:24,VELVETUSDT,buy,0.1860236,405.0,75.3396,,,entry_signal
2025-09-29 10:00:00,VINEUSDT,sell,0.05502,975.0,53.6445,9.4787,-54.8793,trailing_stop
2025-09-29 10:28:17,VELVETUSDT,sell,0,405.0,0,,,external_close_or_liquidation
