Ticker,Total Return,Win Rate,Trades,Final Balance
SOMIUSDT,9.771011619958134,66.66666666666666,9,10977.101161995814
IDOLUSDT,8.761037013377337,50.0,14,10876.103701337734
AVNTUSDT,8.6818011234207,83.33333333333334,6,10868.18011234207
PUMPBTCUSDT,8.352546750777929,50.0,20,10835.254675077793
XPLUSDT,6.39785833890608,60.0,10,10639.785833890608
AIOTUSDT,5.875229178481859,56.52173913043478,23,10587.522917848186
TRUMPUSDT,5.330626794031759,52.0,50,10533.062679403176
QUSDT,5.325963014873159,50.0,6,10532.596301487316
XNYUSDT,5.248954879847606,66.66666666666666,9,10524.89548798476
NEWTUSDT,5.210535648135937,53.84615384615385,13,10521.053564813594
TAGUSDT,4.8869709302984665,66.66666666666666,9,10488.697093029847
DOODUSDT,4.412350156828361,54.166666666666664,24,10441.235015682836
BTRUSDT,4.009131764360227,66.66666666666666,6,10400.913176436023
VFYUSDT,4.0055289003222425,66.66666666666666,3,10400.552890032224
BASUSDT,4.001894837656091,55.55555555555556,9,10400.18948376561
MIRAUSDT,3.915511392806693,80.0,5,10391.55113928067
XCNUSDT,3.8100502358754604,52.94117647058824,17,10381.005023587546
NOMUSDT,3.2843529375384968,60.0,5,10328.43529375385
PTBUSDT,3.1259496962164666,50.0,6,10312.594969621647
UBUSDT,2.9188652480266684,75.0,4,10291.886524802667
OPENUSDT,2.7231905006346824,62.5,8,10272.319050063468
AIAUSDT,2.4536523465765825,60.0,5,10245.365234657658
MEMEFIUSDT,2.430321970725636,53.84615384615385,13,10243.032197072564
EDENUSDT,2.310026177393247,100.0,2,10231.002617739325
ARIAUSDT,2.1947467771101583,60.0,5,10219.474677711016
TOWNSUSDT,2.1519022975582267,57.14285714285714,7,10215.190229755823
RIVERUSDT,1.8253185187406051,50.0,2,10182.53185187406
ZKCUSDT,1.5882730781819918,50.0,6,10158.8273078182
2ZUSDT,1.4639819648238155,66.66666666666666,3,10146.398196482382
YBUSDT,1.4637668563198896,50.0,2,10146.376685631989
FLUIDUSDT,1.269475389900017,100.0,2,10126.947538990002
BARDUSDT,1.245512167013876,100.0,1,10124.551216701388
HOLOUSDT,1.2239290106965202,50.0,4,10122.392901069652
TOSHIUSDT,0.8735978235369294,50.0,4,10087.359782353693
METUSDT,0.8314896953302741,50.0,2,10083.148969533027
XANUSDT,0.6022224401315361,50.0,6,10060.222244013154
FFUSDT,0.21698887593111066,50.0,2,10021.698887593111
GIGGLEUSDT,0.10702266109372431,50.0,4,10010.702266109372
